CODEX_ID,PD1,pH2AX,CD8A,CD3,CD4,CD11B,MHCII,LY6C,PDL1,KI67,CD44,CD19,CD45,CD24,SCAI,F4.80,ATPase,ENDOMUCIN
CODEX_1,356.925,390.9166667,82.23333333,24.525,74.26666667,112.6833333,67.20833333,39.8,38.675,141.425,49.3,143.0833333,161.3416667,83.775,84.86666667,166.6583333,267.525,104.375
CODEX_2,314.75,279.9090909,39.75757576,17.32575758,12.18181818,109.7954545,70.25,46.95454545,39.70454545,156.3257576,38.53030303,118.4015152,189.5075758,81.29545455,36.18181818,47.62878788,397.7272727,170.2424242
CODEX_3,405.5277778,486.9791667,43.49305556,49.65277778,35.09027778,89.5625,69.24305556,37.79861111,57.89583333,145.1388889,47.19444444,58.58333333,217.9791667,88.29166667,62.01388889,34.86111111,457.4444444,186.9305556
CODEX_4,170.3229167,265.09375,15.10416667,21.41666667,39.11458333,24.42708333,57.25,25.44791667,26.38541667,103.0833333,31.07291667,32.60416667,205.34375,89.36458333,65.14583333,242.5208333,280.6041667,178.8541667
CODEX_5,594.0352564,335.9326923,122.5032051,30.02564103,55.57692308,86.91025641,67.25320513,83.05448718,48.28846154,121.0224359,62.84294872,164.9551282,180.1730769,85.3974359,95.03205128,127.775641,556.9775641,192.1538462
CODEX_6,308.4946809,284.7340426,34.32446809,49.98404255,67.11702128,131.6329787,74.78723404,67.05319149,46.71808511,169.3351064,47.4787234,68.07978723,245.5159574,90.09574468,35.65957447,115.8085106,526.8351064,144.2606383
CODEX_7,268.046875,170.828125,19.90625,4.34375,5.109375,8.53125,53.390625,4.78125,25.53125,61.984375,36.125,15.828125,91.46875,68.0625,143.8125,36.75,421.140625,255.234375
CODEX_8,159.6227273,151.7545455,10.68636364,35.63636364,41.86818182,32.26363636,57.35909091,14.73181818,26.26818182,101.8318182,39.29545455,37.91818182,96.29090909,75.52272727,201.5454545,36.94545455,920.0272727,540.4318182
CODEX_9,587.9780702,781.2061404,161.9210526,67.35087719,69.79824561,203.2894737,84.02631579,146.2412281,56.28947368,340.6973684,55.78947368,119.5921053,372.5701754,137.1096491,86.52631579,138.2017544,282.9429825,172.1578947
CODEX_10,366.6333333,282.0666667,23.95,46.51666667,29.08333333,52.41666667,64.78333333,37.4,35.05,148.75,29.76666667,71.25,95.13333333,86.51666667,89.76666667,89.18333333,384.5166667,223.65
