CODEX_ID,DAPI-01,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation,Sample
CODEX_1,36040.25543,72.32608696,4.847826087,184,19.10848592,13.0054511,0.732644718,0.943589744,0.851851852,-1.453996224,D20_batch_2_Sample
CODEX_2,18727.10294,1409.970588,2.970588235,136,22.52723311,8.161723706,0.932059689,0.931506849,0.85,1.510371159,D20_batch_2_Sample
CODEX_3,27146.52604,1547.5,4.333333333,192,22.36067977,11.23486636,0.864612951,0.989690722,0.96,1.570796327,D20_batch_2_Sample
CODEX_4,23815.11029,2755.029412,3.264705882,136,19.86183737,9.828924785,0.868969965,0.912751678,0.68,-1.498244483,D20_batch_2_Sample
CODEX_5,36186.28077,472.7461538,4.684615385,260,28.576516,12.75413424,0.894875811,0.869565217,0.663265306,1.490255519,D20_batch_2_Sample
CODEX_6,39789.55422,570.5240964,6.259036145,332,27.63216585,15.95044417,0.816573192,0.91966759,0.798076923,-1.563405815,D20_batch_2_Sample
CODEX_7,26330.35119,623.2619048,4.833333333,168,17.61715637,12.54699903,0.701973138,0.949152542,0.875,-1.463700472,D20_batch_2_Sample
CODEX_8,37849.71622,688.8783784,6.472972973,296,23.81912072,16.31020397,0.728775636,0.945686901,0.770833333,-1.562728444,D20_batch_2_Sample
CODEX_9,36990.72273,726.3545455,5.118181818,220,23.37836984,13.06274452,0.829333826,0.873015873,0.763888889,1.529777236,D20_batch_2_Sample
CODEX_10,37993.37981,862.6923077,10.40384615,416,33.29585685,17.31695819,0.854109342,0.8721174,0.571428571,0.732904356,D20_batch_2_Sample
CODEX_11,41449.55645,1001.145161,6.080645161,248,21.58651689,15.48049088,0.696932179,0.915129151,0.775,-1.475322912,D20_batch_2_Sample
CODEX_12,27722.24561,1673.166667,5.201754386,228,22.69231205,13.40980616,0.806715148,0.915662651,0.74025974,1.40233686,D20_batch_2_Sample
CODEX_13,27809.32792,1928.5,6.032467532,308,26.38940981,15.40611624,0.811898084,0.927710843,0.846153846,-1.527286601,D20_batch_2_Sample
CODEX_14,25982.99123,2143.973684,5.692982456,228,20.12510525,15.47112274,0.639552503,0.926829268,0.814285714,1.544029832,D20_batch_2_Sample
CODEX_15,24599.98397,2177.858974,6.858974359,312,23.6463535,17.53555229,0.670869612,0.965944272,0.886363636,-1.375055123,D20_batch_2_Sample
CODEX_16,23240.22,2211.3,4.9,200,20.35477452,13.6030568,0.743893589,0.909090909,0.714285714,1.514851194,D20_batch_2_Sample
CODEX_17,35227.90657,2280.540404,5.772727273,396,35.44610949,14.73172721,0.909543314,0.936170213,0.831932773,1.524876556,D20_batch_2_Sample
CODEX_18,36010.96795,2433.5,6.397435897,312,26.06617006,15.71466101,0.797835113,0.968944099,0.928571429,1.486928436,D20_batch_2_Sample
CODEX_19,31890.36538,2516.561538,5.730769231,260,23.38776865,14.58053232,0.781882724,0.962962963,0.844155844,1.503550676,D20_batch_2_Sample
CODEX_20,12741.76582,2652.398734,6.094936709,316,26.94614359,15.59380268,0.815538675,0.908045977,0.759615385,1.474259899,D20_batch_2_Sample
CODEX_21,26107.09551,2808.724719,6.275280899,356,29.35130254,16.33042665,0.830929137,0.931937173,0.794642857,1.442297638,D20_batch_2_Sample
CODEX_22,37614.6875,2885.133333,5.2,240,23.50455973,13.55278179,0.817025004,0.971659919,0.909090909,1.511799806,D20_batch_2_Sample
CODEX_23,27142.4454,3771.994253,6.431034483,348,27.63270169,16.72463724,0.796036976,0.956043956,0.836538462,-1.491775852,D20_batch_2_Sample
CODEX_24,19382.47619,3891.325397,4.912698413,252,25.60252211,12.99436483,0.861626798,0.950943396,0.875,-1.561683529,D20_batch_2_Sample
CODEX_25,14012.76838,132.4705882,7.264705882,272,25.18763033,14.82371235,0.808474331,0.860759494,0.566666667,0.95058518,D20_batch_2_Sample
CODEX_26,35565.42174,228.273913,7.647826087,460,32.51331293,18.67280157,0.818636164,0.93495935,0.798611111,-1.404725842,D20_batch_2_Sample
CODEX_27,41747.97107,277.0454545,8.384297521,484,31.20323486,20.60799349,0.750875185,0.916666667,0.806666667,1.427284381,D20_batch_2_Sample
CODEX_28,33197.58462,643.7,5.115384615,260,26.86938329,12.7200082,0.880846726,0.959409594,0.902777778,1.491365091,D20_batch_2_Sample
CODEX_29,31782.4949,757.5340136,8.051020408,588,38.37271323,20.1286312,0.851376039,0.942307692,0.816666667,1.529524602,D20_batch_2_Sample
CODEX_30,34233.10882,958.4529412,7.605882353,340,23.42718893,19.02410879,0.583584301,0.95505618,0.858585859,-1.449180537,D20_batch_2_Sample
CODEX_31,39175.10377,1071.273585,8.726415094,424,26.78158828,21.52077656,0.595215521,0.917748918,0.741258741,-1.050035609,D20_batch_2_Sample
CODEX_32,36545.53963,1139.280488,6.987804878,328,24.49397352,17.89273486,0.682917622,0.918767507,0.759259259,1.440468836,D20_batch_2_Sample
CODEX_33,31526.96875,1174.291667,6.986111111,576,43.60275747,17.56549045,0.915264807,0.929032258,0.761904762,1.474300975,D20_batch_2_Sample
CODEX_34,40785.44186,1304.848837,7.965116279,344,22.78895344,19.97438866,0.481412168,0.9373297,0.716666667,1.545982282,D20_batch_2_Sample
CODEX_35,33633.33043,1340.326087,7.352173913,460,33.51723432,18.13585556,0.840964399,0.918163673,0.798611111,1.530643568,D20_batch_2_Sample
CODEX_36,25623.43981,1593.944444,9.185185185,432,27.08610287,20.87627902,0.637152642,0.923076923,0.755244755,1.119426815,D20_batch_2_Sample
CODEX_37,33449.54444,1622.366667,8.122222222,360,24.09029455,19.56927372,0.58319778,0.939947781,0.818181818,-1.468734621,D20_batch_2_Sample
CODEX_38,29756.03191,1769.478723,7.329787234,376,27.03759111,18.45719585,0.730746037,0.933002481,0.746031746,1.546517161,D20_batch_2_Sample
CODEX_39,26266.19181,1867.482759,8.24137931,464,30.12161185,20.17919214,0.74242964,0.96868476,0.920634921,1.553836102,D20_batch_2_Sample
CODEX_40,38119.9691,2028.702247,7.983146067,356,25.8898236,18.54304568,0.697865203,0.870415648,0.635714286,1.497117499,D20_batch_2_Sample
CODEX_41,35108.05588,2053.205882,7.441176471,340,25.24658022,17.71257877,0.712587461,0.916442049,0.708333333,-1.323241736,D20_batch_2_Sample
CODEX_42,36911.33197,2468.762295,6.532786885,244,19.92251006,17.23916264,0.501235733,0.924242424,0.677777778,-1.02586175,D20_batch_2_Sample
CODEX_43,35726.44912,2541.845133,8.128318584,452,29.72882043,19.82069066,0.745311551,0.953586498,0.807142857,-1.483980662,D20_batch_2_Sample
CODEX_44,28379.16892,2689.995495,8.103603604,444,29.16784171,19.98788123,0.728288002,0.956896552,0.880952381,1.502286439,D20_batch_2_Sample
CODEX_45,35527.49519,10,9.230769231,416,24.46572894,22.49014908,0.393671631,0.949771689,0.859504132,-0.8970573,D20_batch_2_Sample
CODEX_46,23880.19104,99.95283019,9.273584906,424,25.06349823,22.21046732,0.463364297,0.93598234,0.741258741,-1.203999532,D20_batch_2_Sample
CODEX_47,22343.875,174.9583333,9.041666667,192,18.26742867,13.64717899,0.664737313,0.945812808,0.75,0.735582582,D20_batch_2_Sample
CODEX_48,40425.04104,304.261194,10.63432836,536,28.50013484,24.9615398,0.482602754,0.920962199,0.797619048,-1.255024068,D20_batch_2_Sample
CODEX_49,32510.41341,349.8631285,14.94692737,716,40.51848914,23.68147499,0.811421831,0.912101911,0.662962963,-0.477102547,D20_batch_2_Sample
CODEX_50,37440.21223,380.2122302,8.169064748,556,37.07667154,19.64354991,0.84811706,0.972027972,0.858024691,-1.452680632,D20_batch_2_Sample
CODEX_51,25656.22788,443.0663717,9.915929204,452,24.8755285,24.08094203,0.250728277,0.953586498,0.856060606,0.664658825,D20_batch_2_Sample
CODEX_52,36201.85135,816.6621622,11.81081081,592,29.85262199,25.79001419,0.503644176,0.933753943,0.755102041,0.763967754,D20_batch_2_Sample
CODEX_53,36461.27966,893.4943503,8.036723164,708,50.5877016,18.61483483,0.92983705,0.911196911,0.819444444,-1.516168476,D20_batch_2_Sample
