CODEX_ID,DAPI-01,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation,Sample
CODEX_1,18273.25,384.9666667,3.5,120,16.56335062,9.908126546,0.801349987,0.9375,0.75,-1.442237194,D0_batch_2_Sample
CODEX_2,37214.95455,1256.681818,4.924242424,132,14.33335454,12.17527104,0.527691239,0.923076923,0.785714286,-1.056312635,D0_batch_2_Sample
CODEX_3,22990.83333,1559,4,144,17.67108774,11.18329072,0.774267813,0.911392405,0.8,1.492125109,D0_batch_2_Sample
CODEX_4,35996.76042,3182.083333,3.083333333,96,14.79022818,8.623239613,0.812446119,0.96969697,0.857142857,-1.467721961,D0_batch_2_Sample
CODEX_5,17073.21154,83.98717949,6.115384615,312,26.52458973,15.72274947,0.80537822,0.942598187,0.75,-1.425183845,D0_batch_2_Sample
CODEX_6,32958.57447,1532.670213,4.925531915,188,18.98421298,13.13694357,0.721904155,0.964102564,0.87037037,1.547958608,D0_batch_2_Sample
CODEX_7,6880.109375,2068.875,2.875,64,10.67804335,8.09193365,0.652474679,0.955223881,0.8,1.269652654,D0_batch_2_Sample
CODEX_8,11534.03636,3031.118182,5.554545455,220,20.30009403,14.31841213,0.708871913,0.944206009,0.785714286,1.497275865,D0_batch_2_Sample
CODEX_9,38712.81579,4591.657895,5.271929825,228,22.16744855,13.52338155,0.79235842,0.978540773,0.95,1.544350427,D0_batch_2_Sample
CODEX_10,19954.21667,4628.233333,2.633333333,60,10.72069649,7.618690468,0.703543127,0.909090909,0.75,-1.428899272,D0_batch_2_Sample
CODEX_11,38557.83796,4963.5,5.018518519,216,21.5784529,13.14287844,0.793113262,0.981818182,0.9,1.570796327,D0_batch_2_Sample
CODEX_12,6545.625,5204.076923,5.538461538,208,20.02406113,13.60413462,0.733777937,0.932735426,0.742857143,-1.3575098,D0_batch_2_Sample
CODEX_13,7794.941667,5818.566667,3.833333333,120,15.65792211,10.16762442,0.760481369,0.930232558,0.857142857,1.53566071,D0_batch_2_Sample
CODEX_14,10899.22917,6352.5,5.066666667,240,23.81596103,13.22354802,0.831690906,0.983606557,0.909090909,-1.570796327,D0_batch_2_Sample
CODEX_15,9629.985075,31.93283582,7.395522388,268,19.73108651,17.78113447,0.43345833,0.97810219,0.930555556,-1.418365568,D0_batch_2_Sample
CODEX_16,28104.99662,1287.5,5.959459459,296,25.63948103,15.06011063,0.809311491,0.95483871,0.880952381,1.526548896,D0_batch_2_Sample
CODEX_17,24983.69203,1818.471014,7.688405797,276,20.07432517,17.85706753,0.456842521,0.958333333,0.851851852,0.876039709,D0_batch_2_Sample
CODEX_18,27265.6994,1871.309524,7.095238095,336,25.27517021,17.1897576,0.733115159,0.971098266,0.875,-1.465459075,D0_batch_2_Sample
CODEX_19,18475.67742,3244.629032,6.822580645,248,19.54401624,16.68986881,0.52033356,0.964980545,0.861111111,1.102447671,D0_batch_2_Sample
CODEX_20,14942.7541,3385.663934,6.844262295,488,36.94261557,17.27308662,0.883958513,0.958742633,0.847222222,1.537429366,D0_batch_2_Sample
CODEX_21,39023.15116,3431.011628,5.38372093,172,16.89529681,13.27369256,0.618678538,0.950276243,0.895833333,1.458987817,D0_batch_2_Sample
CODEX_22,11337.23125,3500.5,5.25,160,15.62049935,13.37908816,0.516133164,0.987654321,0.952380952,1.570796327,D0_batch_2_Sample
CODEX_23,14584.54286,3677.871429,7.128571429,560,42.1108471,17.51013192,0.909451284,0.954003407,0.875,-1.526739416,D0_batch_2_Sample
CODEX_24,7025.470149,4060.828358,7.201492537,536,40.32394546,17.16883537,0.904830151,0.97277677,0.881578947,-1.495632552,D0_batch_2_Sample
CODEX_25,6633.497059,4156.241176,6.217647059,340,27.89823781,16.11282953,0.816350183,0.944444444,0.817307692,-1.536579582,D0_batch_2_Sample
CODEX_26,39528.355,4310.12,6.84,400,30.20780712,17.45761694,0.816095273,0.970873786,0.892857143,1.490171377,D0_batch_2_Sample
CODEX_27,11068.03774,4340.5,6.273584906,212,18.29939684,14.93162296,0.578104728,0.946428571,0.841269841,-1.570796327,D0_batch_2_Sample
CODEX_28,12298.4125,4389.45,5.3,160,16.22946986,12.77201269,0.616998588,0.935672515,0.833333333,1.384617424,D0_batch_2_Sample
CODEX_29,22481.91975,5123.981481,6.030864198,324,27.64074135,15.32586929,0.832205944,0.981818182,0.89010989,-1.548500727,D0_batch_2_Sample
CODEX_30,15657.5,5798.476471,6.476470588,340,26.89255986,16.73800296,0.78269715,0.941828255,0.817307692,-1.509442156,D0_batch_2_Sample
CODEX_31,19896.42,6572.313333,6.393333333,300,23.85806818,17.0450294,0.699702224,0.9375,0.78125,-1.566590971,D0_batch_2_Sample
CODEX_32,17074.28465,6654.420792,7.371287129,404,28.51941022,18.69771427,0.755096523,0.941724942,0.801587302,-1.526663031,D0_batch_2_Sample
CODEX_33,18547.94408,6700.710526,8.105263158,608,40.41796003,19.61275032,0.874376345,0.960505529,0.888888889,-1.568826803,D0_batch_2_Sample
CODEX_34,35394.45682,446.0454545,8.427272727,440,27.52650942,20.897824,0.650870199,0.967032967,0.846153846,1.556128835,D0_batch_2_Sample
CODEX_35,22118.85849,502.8584906,8.801886792,424,26.6247747,20.59271192,0.633867402,0.940133038,0.815384615,-1.316467186,D0_batch_2_Sample
CODEX_36,15530.8953,572.8931624,7.594017094,468,32.74818126,18.64518234,0.822095123,0.964948454,0.8125,-1.451495392,D0_batch_2_Sample
CODEX_37,25995.85981,732.3504673,9.509345794,428,25.71971289,21.5936737,0.543241045,0.966139955,0.891666667,-1.296996724,D0_batch_2_Sample
CODEX_38,7809.763699,751.8150685,7.952054795,292,21.00358086,18.32185237,0.488934652,0.976588629,0.901234568,-0.835017192,D0_batch_2_Sample
CODEX_39,38162.22348,794.8636364,9.515151515,528,30.09042063,22.70946802,0.65606135,0.941176471,0.8,-1.461462876,D0_batch_2_Sample
CODEX_40,9639.006158,1100.933498,7.800492611,812,53.82176004,20.19628293,0.926926143,0.949707602,0.780769231,1.519099795,D0_batch_2_Sample
CODEX_41,11464.32944,1194.331776,8.948598131,428,26.3373279,21.01756276,0.60263859,0.944812362,0.748251748,-1.443635491,D0_batch_2_Sample
CODEX_42,16762.47667,1682.98,8.073333333,300,20.47942804,18.9348158,0.38099433,0.94637224,0.833333333,-1.092307517,D0_batch_2_Sample
CODEX_43,25049.13021,2109.277778,8.902777778,576,34.66423047,21.4968936,0.784486195,0.956810631,0.847058824,1.555334477,D0_batch_2_Sample
CODEX_44,33666.68254,3007.230159,9.325396825,504,29.99885731,21.84802933,0.685263331,0.949152542,0.763636364,-1.302045863,D0_batch_2_Sample
CODEX_45,21158.71926,3056.631148,9.12295082,488,29.31138246,21.6453809,0.674293645,0.942084942,0.813333333,-1.510904375,D0_batch_2_Sample
CODEX_46,28765.94231,3346.776923,8.038461538,260,20.90515274,16.10926918,0.637333073,0.942028986,0.802469136,-0.674147778,D0_batch_2_Sample
CODEX_47,16296.58333,3456.208333,8.8125,384,24.52339396,20.40456332,0.554708383,0.948148148,0.872727273,-1.223602567,D0_batch_2_Sample
CODEX_48,22878.80398,3627.5,9.181818182,352,21.6630851,20.9501573,0.254433774,0.951351351,0.88,1.33E-17,D0_batch_2_Sample
CODEX_49,37170.49834,4504.738411,8.778145695,604,37.1387889,21.18149664,0.821413211,0.94375,0.762626263,-1.440671153,D0_batch_2_Sample
CODEX_50,27728.59346,4678.929907,8.593457944,428,26.76963447,20.72494755,0.632945767,0.951111111,0.823076923,1.487226458,D0_batch_2_Sample
CODEX_51,24932.91058,5253.624088,8.339416058,548,35.45983485,20.19863731,0.821908059,0.982078853,0.951388889,-1.527946544,D0_batch_2_Sample
CODEX_52,24843.26205,6003.391566,8.427710843,332,21.64503468,19.87288554,0.396286833,0.962318841,0.922222222,1.429131602,D0_batch_2_Sample
CODEX_53,7838.306306,11.70720721,10.17567568,444,27.76481016,20.63512642,0.669056541,0.948717949,0.840909091,-0.95529914,D0_batch_2_Sample
CODEX_54,32976.78728,205.377193,11.30701754,456,25.31167488,23.22184024,0.39788352,0.930612245,0.791666667,0.361917993,D0_batch_2_Sample
CODEX_55,9521.6475,345.22,10.02,400,26.44382868,19.5167396,0.674751325,0.928074246,0.757575758,-0.889473437,D0_batch_2_Sample
CODEX_56,36255.47538,1581.272727,8.727272727,528,31.84863724,21.67555294,0.732673561,0.953068592,0.825,1.549237019,D0_batch_2_Sample
