CODEX_ID,PD1,pH2AX,CD8A,CD3,CD4,CD11B,MHCII,LY6C,PDL1,KI67,CD44,CD19,CD45,CD24,SCAI,F4.80,ATPase,ENDOMUCIN
CODEX_1,229.537037,163.8101852,1.912037037,0.027777778,0,0,137.5601852,0,285.5787037,47.61574074,107.3981481,0,292.8101852,86.0462963,69.96296296,0.310185185,819.5972222,2173.162037
CODEX_2,300.8895349,835.2209302,62.53488372,0,0,65.05232558,99.65697674,3.284883721,102.127907,174.9418605,53.08139535,0.627906977,318.25,97.44186047,26.48837209,0,97.27325581,41.44767442
CODEX_3,173.09,247.09,2.29,0,0,0.38,279.31,0,125.6,56.06,76.34,0,109.05,179.77,376.44,0,793.77,261.23
CODEX_4,178.6704545,254.2613636,37.71022727,1.346590909,0,0.272727273,94.97727273,0,77.48863636,61.04545455,70.56818182,1.261363636,82.125,223.8863636,118.9261364,0,702.9545455,80.56818182
CODEX_5,157.0263158,493.8026316,0.605263158,0,0,0,99.59210526,0,82.01315789,76.92105263,52.44736842,0,176.8157895,98.30263158,90.28947368,0,166.8684211,65.90789474
CODEX_6,215.375,238.2395833,14.53645833,0,0,0.020833333,98.34375,0,196.515625,69.15104167,53.82291667,0,109.8802083,94.77604167,213.3125,0,862.8125,518.1822917
CODEX_7,184.7345679,165.1574074,1.524691358,0.293209877,0,0,98.0617284,0,86.08641975,62.4845679,64.32716049,0,133.5493827,81.82716049,79.70679012,0,446.6635802,175.941358
CODEX_8,188.2906977,331.6395349,2.122093023,0,0,1.912790698,81.20348837,0,109.5465116,56.93604651,51.74418605,1.063953488,107.8953488,94.91860465,69.79651163,0,432.0639535,78.44186047
CODEX_9,392.9947368,704.2631579,14.09473684,0,0,23.57105263,98.59473684,0,109.3763158,106.1894737,64.32105263,0,222.6105263,117.9421053,532.5263158,0.339473684,280.6,185.9763158
CODEX_10,129.4010417,177.5989583,0.036458333,0,0,0.9375,131.203125,0,137.8645833,45.66666667,63.41666667,0,86.05729167,195.609375,1202.6875,0,722.2135417,1387.765625
