CODEX_ID,X_centroid,Y_centroid,Sample,leiden_R,phenotype
CODEX_1,384.9666667,3.5,D0_batch_2_Sample,"1-2-3,0",Non-immune cells
CODEX_2,1256.681818,4.924242424,D0_batch_2_Sample,"1-2-3,0",Hepatocyte
CODEX_3,1559.0,4.0,D0_batch_2_Sample,"1-2-3,0",Hepatocyte
CODEX_4,3182.083333,3.083333333,D0_batch_2_Sample,"1-2-3,0",Endomucin
CODEX_5,83.98717949,6.115384615,D0_batch_2_Sample,"1-2-3,0",Hepatocyte
CODEX_6,1532.670213,4.925531915,D0_batch_2_Sample,"1-2-3,0",Hepatocyte
CODEX_7,2068.875,2.875,D0_batch_2_Sample,4,Hepatocyte
CODEX_8,3031.118182,5.554545455,D0_batch_2_Sample,4,Hepatocyte
CODEX_9,4591.657895,5.271929825,D0_batch_2_Sample,"1-2-3,0",Non-immune cells
CODEX_10,4628.233333,2.633333333,D0_batch_2_Sample,"1-2-3,0",Hepatocyte
CODEX_11,4963.5,5.018518519,D0_batch_2_Sample,"1-2-3,0",Endomucin
CODEX_12,5204.076923,5.538461538,D0_batch_2_Sample,"1-2-3,0",Hepatocyte
CODEX_13,5818.566667,3.833333333,D0_batch_2_Sample,"1-2-3,0",F4-80+ macrophage
CODEX_14,6352.5,5.066666667,D0_batch_2_Sample,"1-2-3,0",Hepatocyte
CODEX_15,31.93283582,7.395522388,D0_batch_2_Sample,"1-2-3,0",Hepatocyte
CODEX_16,1287.5,5.959459459,D0_batch_2_Sample,"1-2-3,0",Non-immune cells
CODEX_17,1818.471014,7.688405797,D0_batch_2_Sample,"1-2-3,0",Hepatocyte
CODEX_18,1871.309524,7.095238095,D0_batch_2_Sample,"1-2-3,0",Hepatocyte
CODEX_19,3244.629032,6.822580645,D0_batch_2_Sample,"1-2-3,0",F4-80+ macrophage
CODEX_20,3385.663934,6.844262295,D0_batch_2_Sample,"1-2-3,0",Hepatocyte
CODEX_21,3431.011628,5.38372093,D0_batch_2_Sample,"1-2-3,0",Non-immune cells
CODEX_22,3500.5,5.25,D0_batch_2_Sample,"1-2-3,0",Hepatocyte
CODEX_23,3677.871429,7.128571429,D0_batch_2_Sample,"1-2-3,0",Hepatocyte
CODEX_24,4060.828358,7.201492537,D0_batch_2_Sample,"1-2-3,0",Non-immune cells
CODEX_25,4156.241176,6.217647059,D0_batch_2_Sample,"1-2-3,0",Hepatocyte
CODEX_26,4310.12,6.84,D0_batch_2_Sample,"1-2-3,0",Non-immune cells
CODEX_27,4340.5,6.273584906,D0_batch_2_Sample,"1-2-3,0",Non-immune cells
CODEX_28,4389.45,5.3,D0_batch_2_Sample,"1-2-3,0",Hepatocyte
CODEX_29,5123.981481,6.030864198,D0_batch_2_Sample,"1-2-3,0",Endomucin
CODEX_30,5798.476471,6.476470588,D0_batch_2_Sample,"1-2-3,0",F4-80+ macrophage
CODEX_31,6572.313333,6.393333333,D0_batch_2_Sample,4,Endomucin
CODEX_32,6654.420792,7.371287129,D0_batch_2_Sample,4,Endomucin
CODEX_33,6700.710526,8.105263158,D0_batch_2_Sample,4,Endomucin
CODEX_34,446.0454545,8.427272727,D0_batch_2_Sample,"1-2-3,0",Non-immune cells
CODEX_35,502.8584906,8.801886792,D0_batch_2_Sample,"1-2-3,0",Hepatocyte
CODEX_36,572.8931624,7.594017094,D0_batch_2_Sample,"1-2-3,0",Hepatocyte
CODEX_37,732.3504673,9.509345794,D0_batch_2_Sample,"1-2-3,0",Hepatocyte
CODEX_38,751.8150685,7.952054795,D0_batch_2_Sample,"1-2-3,0",Non-immune cells
CODEX_39,794.8636364,9.515151515,D0_batch_2_Sample,"1-2-3,0",Tumor cells
CODEX_40,1100.933498,7.800492611,D0_batch_2_Sample,"1-2-3,0",Endomucin
CODEX_41,1194.331776,8.948598131,D0_batch_2_Sample,"1-2-3,0",Endomucin
CODEX_42,1682.98,8.073333333,D0_batch_2_Sample,4,Hepatocyte
CODEX_43,2109.277778,8.902777778,D0_batch_2_Sample,"1-2-3,0",Non-immune cells
CODEX_44,3007.230159,9.325396825,D0_batch_2_Sample,"1-2-3,0",Non-immune cells
CODEX_45,3056.631148,9.12295082,D0_batch_2_Sample,4,Hepatocyte
CODEX_46,3346.776923,8.038461538,D0_batch_2_Sample,"1-2-3,0",F4-80+ macrophage
CODEX_47,3456.208333,8.8125,D0_batch_2_Sample,"1-2-3,0",Non-immune cells
CODEX_48,3627.5,9.181818182,D0_batch_2_Sample,"1-2-3,0",Non-immune cells
CODEX_49,4504.738411,8.778145695,D0_batch_2_Sample,"1-2-3,0",Non-immune cells
CODEX_50,4678.929907,8.593457944,D0_batch_2_Sample,"1-2-3,0",Hepatocyte
CODEX_51,5253.624088,8.339416058,D0_batch_2_Sample,"1-2-3,0",Endomucin
CODEX_52,6003.391566,8.427710843,D0_batch_2_Sample,"1-2-3,0",F4-80+ macrophage
CODEX_53,11.70720721,10.17567568,D0_batch_2_Sample,"1-2-3,0",Non-immune cells
CODEX_54,205.377193,11.30701754,D0_batch_2_Sample,"1-2-3,0",Non-immune cells
CODEX_55,345.22,10.02,D0_batch_2_Sample,4,Hepatocyte
CODEX_56,1581.272727,8.727272727,D0_batch_2_Sample,"1-2-3,0",CD11b+ myeloid cells
CODEX_57,1740.304348,10.67391304,D0_batch_2_Sample,4,Non-immune cells
CODEX_58,1839.365979,10.08762887,D0_batch_2_Sample,"1-2-3,0",CD11b+Ly6C+ myeloid cells
CODEX_59,2321.039683,10.24603175,D0_batch_2_Sample,"1-2-3,0",F4-80+ macrophage
CODEX_60,2346.087786,9.965648855,D0_batch_2_Sample,"1-2-3,0",F4-80+ macrophage
CODEX_61,2375.1,9.446666667,D0_batch_2_Sample,"1-2-3,0",Hepatocyte
CODEX_62,3211.881579,10.63157895,D0_batch_2_Sample,"1-2-3,0",Hepatocyte
CODEX_63,4454.481651,10.15137615,D0_batch_2_Sample,"1-2-3,0",F4-80+ macrophage
CODEX_64,4791.659091,9.136363636,D0_batch_2_Sample,"1-2-3,0",Non-immune cells
CODEX_65,5165.674194,9.738709677,D0_batch_2_Sample,"1-2-3,0",Hepatocyte
CODEX_66,5467.216667,10.325,D0_batch_2_Sample,"1-2-3,0",Endomucin
CODEX_67,5613.47561,11.13414634,D0_batch_2_Sample,"1-2-3,0",Endomucin
CODEX_68,5876.425926,11.07407407,D0_batch_2_Sample,"1-2-3,0",Non-immune cells
CODEX_69,6082.776316,9.802631579,D0_batch_2_Sample,"1-2-3,0",Non-immune cells
CODEX_70,6391.78972,9.228971963,D0_batch_2_Sample,"1-2-3,0",Non-immune cells
CODEX_71,284.5141844,12.75531915,D0_batch_2_Sample,"1-2-3,0",Hepatocyte
CODEX_72,624.7105263,12.21052632,D0_batch_2_Sample,"1-2-3,0",Hepatocyte
CODEX_73,1445.05814,13.98837209,D0_batch_2_Sample,"1-2-3,0",Hepatocyte
CODEX_74,2958.813433,12.48507463,D0_batch_2_Sample,"1-2-3,0",Hepatocyte
CODEX_75,3130.818471,12.10509554,D0_batch_2_Sample,"1-2-3,0",F4-80+ macrophage
CODEX_76,5009.914966,11.77891156,D0_batch_2_Sample,"1-2-3,0",F4-80+ macrophage
CODEX_77,5583.492,14.908,D0_batch_2_Sample,"1-2-3,0",Non-immune cells
CODEX_78,6312.025547,11.91605839,D0_batch_2_Sample,"1-2-3,0",Endomucin
CODEX_79,6506.344961,12.20542636,D0_batch_2_Sample,"1-2-3,0",Endomucin
CODEX_80,1977.283505,12.60309278,D0_batch_2_Sample,"1-2-3,0",Non-immune cells
CODEX_81,3265.683673,12.92176871,D0_batch_2_Sample,"1-2-3,0",Non-immune cells
CODEX_82,3706.052941,14.07647059,D0_batch_2_Sample,"1-2-3,0",F4-80+ macrophage
CODEX_83,4748.305825,13.38349515,D0_batch_2_Sample,"1-2-3,0",Hepatocyte
CODEX_84,6616.230942,12.39237668,D0_batch_2_Sample,"1-2-3,0",Endomucin
CODEX_85,249.3695652,17.93478261,D0_batch_2_Sample,"1-2-3,0",Hepatocyte
CODEX_86,876.8859649,17.27192982,D0_batch_2_Sample,"1-2-3,0",Non-immune cells
CODEX_87,1924.163366,14.11386139,D0_batch_2_Sample,"1-2-3,0",Hepatocyte
CODEX_88,3825.691304,15.53478261,D0_batch_2_Sample,"1-2-3,0",Tumor cells
CODEX_89,3851.637255,15.55882353,D0_batch_2_Sample,"1-2-3,0",Hepatocyte
CODEX_90,4241.944444,17.81111111,D0_batch_2_Sample,"1-2-3,0",Hepatocyte
CODEX_91,4428.215736,15.91116751,D0_batch_2_Sample,"1-2-3,0",Hepatocyte
CODEX_92,4473.270833,16.4375,D0_batch_2_Sample,"1-2-3,0",F4-80+ macrophage
CODEX_93,6547.728571,16.39285714,D0_batch_2_Sample,"1-2-3,0",Endomucin
CODEX_94,673.2090909,17.82727273,D0_batch_2_Sample,"1-2-3,0",Hepatocyte
CODEX_95,5721.598814,19.44466403,D0_batch_2_Sample,"1-2-3,0",Endomucin
CODEX_96,368.0522388,19.96268657,D0_batch_2_Sample,4,Hepatocyte
CODEX_97,1244.093496,20.12601626,D0_batch_2_Sample,"1-2-3,0",Hepatocyte
CODEX_98,2139.932836,22.52985075,D0_batch_2_Sample,"1-2-3,0",Hepatocyte
CODEX_99,2538.961538,17.57692308,D0_batch_2_Sample,"1-2-3,0",Non-immune cells
CODEX_100,3314.297101,20.56763285,D0_batch_2_Sample,"1-2-3,0",Non-immune cells
CODEX_101,3763.166667,19.34210526,D0_batch_2_Sample,"1-2-3,0",Hepatocyte
